,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,booking_number,total_charges,is_false,kids,check,total_charges_rounded
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.0,1,,,292.0
19085,Resort Hotel,0.0,11.0,2015.0,December,75.0,5.0,2.0,1.0,2.0,0.0,0.0,Undefined,ESP,Groups,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,350.0,,0.0,Transient-Party,68.0,0.0,0.0,Check-Out,12/8/15,1019085.0,204.0,1,0.0,204.0,204.0
35213,Resort Hotel,0.0,11.0,2017.0,April,15.0,11.0,0.0,5.0,2.0,0.0,0.0,HB,GBR,Offline TA/TO,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,40.0,,0.0,Contract,82.85,0.0,1.0,Check-Out,4/16/17,1035213.0,1000.0,1,0.0,414.25,1000.0
46150,City Hotel,0.0,6.0,2015.0,December,51.0,18.0,0.0,1.0,0.0,2.0,1.0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,B,B,0.0,No Deposit,9.0,,0.0,Transient-Party,77.0,0.0,2.0,Check-Out,12/19/15,1046150.0,77.0,1,3.0,77.0,77.0
81375,City Hotel,1.0,22.0,2015.0,December,50.0,9.0,1.0,4.0,0.0,2.0,1.0,BB,PRT,Direct,Direct,0.0,0.0,0.0,B,B,1.0,No Deposit,14.0,,0.0,Transient,80.75,0.0,1.0,No-Show,12/9/15,1081375.0,403.75,1,3.0,403.75,403.75
90790,City Hotel,0.0,14.0,2016.0,June,24.0,9.0,0.0,3.0,0.0,2.0,1.0,BB,ITA,Online TA,TA/TO,0.0,0.0,0.0,B,B,2.0,No Deposit,9.0,,0.0,Transient,116.49,0.0,2.0,Check-Out,6/12/16,1090790.0,349.47,1,3.0,349.47,349.47
106962,City Hotel,0.0,9.0,2017.0,February,9.0,31.0,2.0,5.0,1.0,0.0,0.0,SC,CUB,Online TA,TA/TO,0.0,0.0,0.0,A,A,1.0,No Deposit,9.0,,0.0,Transient,74.8,0.0,0.0,Check-Out,3/5/17,1106962.0,523.6,1,0.0,523.6,523.6
112930,City Hotel,0.0,223.0,2017.0,May,20.0,16.0,0.0,11.0,2.0,0.0,0.0,SC,SWE,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,7.0,,0.0,Transient,78.35,0.0,1.0,Check-Out,5/31/17,1112930.0,1175.25,1,0.0,861.85,1175.25
118963,City Hotel,0.0,1.0,2017.0,August,35.0,27.0,0.0,0.0,2.0,0.0,0.0,BB,PRT,Direct,Direct,0.0,0.0,0.0,A,A,0.0,No Deposit,,,0.0,Transient,0.0,0.0,0.0,Check-Out,8/27/17,1118963.0,800.0,1,0.0,0.0,800.0
119385,City Hotel,0.0,23.0,2017.0,August,35.0,30.0,2.0,5.0,2.0,0.0,0.0,BB,BEL,Offline TA/TO,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,394.0,,0.0,Transient,96.14,0.0,0.0,Check-Out,9/6/17,9999999.0,672.98,1,0.0,672.98,672.98
119386,City Hotel,0.0,102.0,2017.0,August,35.0,31.0,2.0,5.0,3.0,0.0,0.0,BB,FRA,Online TA,TA/TO,0.0,0.0,0.0,E,E,0.0,No Deposit,9.0,,0.0,Transient,225.43,0.0,2.0,Check-Out,9/7/17,1119386.0,100000.0,1,0.0,1578.01,100000.0
